BankName,BankCode,ClientCode,ClientName,CardNumber,AccountNumber,NowMoney,AccountPW,AccountDate
KB,10,101,È«±æµ¿,1010,101,1000,0,20230304
iBK,11,101,È«±æµ¿,1020,102,1000,0,20230304
NH,12,101,È«±æµ¿,1030,103,1000,0,20230304
½ÅÇÑ,13,102,±èÃ¶¼ö,1040,104,523,1234,20230304
¿ì¸®,14,103,¾È¿µÈñ,1050,105,1000,1111,20230304
ÇÏ³ª,15,104,¹ÙµÏÀÌ,1060,106,1000000,1984,20230304
¿ÜÈ¯,16,105,Ã»±æµ¿,1070,107,1000,5566,20230304
¾¾Æ¼,17,105,Ã»±æµ¿,1080,108,1000,5566,20230304
°ø°ú±Ý,40,102,±èÃ¶¼ö,1090,109,500000,1111,20230304
¹üÄ¢±Ý,41,103,¾È¿µÈñ,1100,110,150000,1111,20230304
