BankName,BankCode,ClientCode,ClientName,CardNumber,AccountNumber,NowMoney,AccountPW,AccountDate
KB,10,101,홍길동,1010,101,1000,0,20230304
iBK,11,101,홍길동,1020,102,500,0,20230304
NH,12,101,홍길동,1030,103,1000,0,20230304
신한,13,102,김철수,1040,104,23,1234,20230304
우리,14,103,안영희,1050,105,1000,1111,20230304
하나,15,104,바둑이,1060,106,1000000,1984,20230304
외환,16,105,청길동,1070,107,1000,5566,20230304
씨티,17,105,청길동,1080,108,1000,5566,20230304
대구,18,102,김철수,1090,109,4512,1234,20230304
부산,19,103,안영희,1100,110,1000,2222,20230304
제일,20,104,바둑이,1110,111,1000000,1984,20230304
케이,21,102,김철수,1120,112,45,1234,20230304
카카오,22,102,김철수,1130,113,456213,1234,20230304
교통카드,30,102,김철수,1140,114,1515,1234,20230304
KB,10,201,이순신,1150,115,10000,0,20230307
NH,12,202,김유신,1160,116,20000,0,20230307
신한,13,203,강감찬,1170,117,30000,1234,20230307
우리,14,204,유관순,1180,118,40000,1111,20230307
하나,15,205,안중근,1190,119,50000,1984,20230307
외환,16,206,윤봉길,1200,120,60000,5566,20230307
씨티,17,207,이봉창,1210,121,70000,5566,20230307
대구,18,208,안중범,1220,122,80000,1234,20230307
부산,19,209,허균,1230,123,90000,2222,20230307
제일,20,210,손옥주,1240,124,100000,1984,20230307
케이,21,211,박찬욱,1250,125,110000,1234,20230307
카카오,22,212,백석,1260,126,120000,1234,20230307
교통카드,30,213,이황,1270,127,130000,1234,20230307
KB,10,301,이영희,1280,128,5000,0,20230306
iBK,11,302,김철수,1290,129,21731,0,20230306
NH,12,303,박지성,1300,130,15000,0,20230306
신한,13,304,한지민,1310,131,20000,4321,20230306
우리,14,305,박서준,1320,132,25000,1111,20230306
하나,15,306,김민정,1330,133,30000,2222,20230306
외환,16,307,이하늘,1340,134,35000,3333,20230306
씨티,17,308,홍길동,1350,135,40000,4444,20230306
대구,18,309,송중기,1360,136,45000,1234,20230306
부산,19,310,박보검,1370,137,50000,5678,20230306
제일,20,311,장동건,1380,138,55000,1984,20230306
케이,21,312,전현무,1390,139,60000,4321,20230306
카카오,22,313,유재석,1400,140,65000,1234,20230306
교통카드,30,314,이효리,1410,141,70000,2222,20230306
공과금,40,101,홍길동,1420,142,100000,1111,20230304
범칙금,41,101,홍길동,1430,143,80000,1111,20230304
NH,12,101,홍길동,1440,144,1000,0,20230304
신한,13,102,김철수,1450,145,546,1234,20230304
우리,14,103,안영희,1460,146,1000,1111,20230304
하나,15,104,바둑이,1470,147,1000000,1984,20230304
외환,16,105,청길동,1480,148,1000,5566,20230304
씨티,17,105,청길동,1490,149,1000,5566,20230304
대구,18,102,김철수,1500,150,1000,1234,20230304
부산,19,103,안영희,1510,151,1000,2222,20230304
제일,20,104,바둑이,1520,152,1000000,1984,20230304
케이,21,102,김철수,1530,153,123135,1234,20230304
카카오,22,102,김철수,1540,154,3,1234,20230304
교통카드,30,102,김철수,1550,155,1312,1234,20230304
KB,10,201,이순신,1560,156,10000,0,20230307
iBK,11,202,김유신,1570,157,1000000,0,20230307
하나,15,203,강감찬,1580,158,20000,1234,20230307
우리,14,204,유관순,1590,159,40000,1111,20230307
하나,15,205,안중근,1600,160,50000,1984,20230307
외환,16,206,윤봉길,1610,161,60000,5566,20230307
씨티,17,207,이봉창,1620,162,70000,5566,20230307
대구,18,208,안중범,1630,163,80000,1234,20230307
부산,19,209,허균,1640,164,90000,2222,20230307
제일,20,210,손옥주,1650,165,100000,1984,20230307
KB,10,101,홍길동,1660,166,1000,0,20220214
iBK,11,101,홍길동,1670,167,1000,0,20220214
NH,12,101,홍길동,1680,168,1000,0,20220214
신한,13,102,김철수,1690,169,1000,1234,20220222
우리,14,103,안영희,1700,170,1000,1111,20220222
하나,15,104,바둑이,1710,171,1000000,1984,20220222
외환,16,105,청길동,1720,172,1000,5566,20220222
공과금,40,105,청길동,1730,173,80000,1111,20220222
범칙금,41,102,김철수,1740,174,50000,1111,20220222
부산,19,103,안영희,1750,175,1000,2222,20220222
제일,20,104,바둑이,1760,176,1000000,1984,20220222
케이,21,102,김철수,1770,177,0,1234,20220222
카카오,22,102,김철수,1780,178,10000,1234,20220222
교통카드,30,102,김철수,1790,179,486468,1234,20220222
KB,10,201,이순신,1800,180,10000,0,20220216
부산,19,202,김유신,1810,181,1560000,0,20220216
씨티,17,203,강감찬,1820,182,800000,1234,20220216
우리,14,204,유관순,1830,183,40000,1111,20220216
하나,15,205,안중근,1840,184,50000,1984,20220216
외환,16,206,윤봉길,1850,185,60000,5566,20220216
씨티,17,207,이봉창,1860,186,70000,5566,20220216
대구,18,208,안중범,1870,187,80000,1234,20220216
부산,19,209,허균,1880,188,90000,2222,20220216
제일,20,210,손옥주,1890,189,100000,1984,20220216
부산,19,103,안영희,1900,190,1000,2222,20230122
공과금,40,104,바둑이,1910,191,250000,1111,20230122
범칙금,41,102,김철수,1920,192,170000,1111,20230122
카카오,22,102,김철수,1930,193,23132,1234,20230122
교통카드,30,102,김철수,1940,194,156,1234,20230122
KB,10,201,이순신,1950,195,10000,0,20230116
카카오,22,202,김유신,1960,196,180000,0,20230116
제일,20,203,강감찬,1970,197,456,1234,20230116
우리,14,204,유관순,1980,198,40000,1111,20230116
하나,15,205,안중근,1990,199,50000,1984,20230116
외환,16,206,윤봉길,2000,200,60000,5566,20230116
